table,column,description,data_type,source_system
shipments,Id,Shipment number (TMS primary key),text,TMS
shipments,Date,Date the job was booked into the TMS,date,TMS
shipments,cust_ref,Customer account reference; joins to party.party_key,text,TMS
shipments,svc,Service code purchased; joins to svc_catalog.svc_id,text,TMS
shipments,carrier_cd,Executing carrier SCAC; joins to carriers.scac,text,TMS
shipments,orig,Origin facility; joins to locs.loc_nbr,text,TMS
shipments,dest,Destination facility; joins to locs.loc_nbr,text,TMS
shipments,START,Actual pickup timestamp,timestamp,TMS
shipments,wgt,Chargeable weight in kilograms,decimal,TMS
shipments,pieces,Piece count on the consignment,integer,TMS
shipments,Amount,Final invoiced revenue for the shipment in GBP,decimal,TMS
shipments,Status,Lifecycle status: BOOKED / IN_TRANSIT / DELIVERED / CANCELLED,text,TMS
shipments,del_date,Actual delivery date,date,TMS
movements,Id,Movement (leg) identifier,text,TMS
movements,ship_ref,Parent shipment number; joins to shipments.Id,text,TMS
movements,seq,Leg sequence within the shipment routing,integer,TMS
movements,from_loc,Leg origin facility; joins to locs.loc_nbr,text,TMS
movements,to_loc,Leg destination facility; joins to locs.loc_nbr,text,TMS
movements,START,Leg departure timestamp,timestamp,TMS
movements,END,Leg arrival timestamp,timestamp,TMS
movements,Amount,Internal cost allocated to the leg in GBP,decimal,TMS
movements,Status,Leg status: PLANNED / DONE / ABORTED,text,TMS
invoices,Id,Invoice line identifier,text,FINSYS
invoices,inv_no,Invoice document number (one invoice has many lines),text,FINSYS
invoices,Date,Invoice issue date,date,FINSYS
invoices,acct,Billed account; joins to party.party_key,text,FINSYS
invoices,ship_no,Shipment the line bills for; joins to shipments.Id,text,FINSYS
invoices,charge_type,Line charge class: BASE / FUEL / ACCESSORIAL,text,FINSYS
invoices,Amount,Billed amount for the line (net of tax),decimal,FINSYS
invoices,Status,Line payment status: OPEN / PAID / VOID / CREDITED,text,FINSYS
party,party_key,Master account key (use this for joins),text,MDM
party,Id,Legacy CRM identifier - do not join on this,text,CRM
party,Name,Registered account name,text,MDM
party,Status,Account status: ACTIVE or CLOSED,text,MDM
party,Date,Date the account was onboarded,date,MDM
party,segment,Commercial segment,text,MDM
carriers,scac,Standard carrier alpha code (primary key),text,TMS
carriers,Name,Carrier trading name,text,TMS
carriers,mode,Primary transport mode,text,TMS
carriers,Amount,Carrier liability insurance coverage limit in GBP,decimal,PROCUREMENT
locs,loc_nbr,Facility number (primary key),text,TMS
locs,Name,Facility name,text,TMS
locs,kind,Facility type: DEPOT / HUB / PORT / RAILHEAD / CUSTOMER_DOCK,text,TMS
locs,START,Facility opening hour (local time),time,TMS
locs,END,Facility closing hour (local time),time,TMS
svc_catalog,svc_id,Service code (primary key),text,TMS
svc_catalog,Name,Customer-facing service name,text,TMS
svc_catalog,sla_days,Promised delivery window in days from pickup,integer,TMS
svc_catalog,premium_flag,Y when the service is sold as premium,text,TMS
cargo_claims,Id,Claim reference,text,CLAIMSDESK
cargo_claims,ship_ref,Shipment the claim is raised against; joins to shipments.Id,text,CLAIMSDESK
cargo_claims,claim_type,DAMAGE / LOSS / DELAY,text,CLAIMSDESK
cargo_claims,Amount,Amount claimed by the customer,decimal,CLAIMSDESK
cargo_claims,Status,FILED / SETTLED / DENIED,text,CLAIMSDESK
disputes,Id,Dispute reference,text,FINSYS
disputes,inv_no,Disputed invoice document number; joins to invoices.inv_no,text,FINSYS
disputes,opened,Date the dispute was raised,date,FINSYS
disputes,Status,OPEN / RESOLVED / REJECTED,text,FINSYS
disputes,Amount,Amount under dispute,decimal,FINSYS
vehicles,vin,Vehicle identification number (primary key),text,FLEET
vehicles,class_cd,Vehicle class; joins to vehicle_classes.class_cd,text,FLEET
vehicles,depot,Home depot; joins to locs.loc_nbr,text,FLEET
vehicles,Status,IN_SERVICE / VOR / DISPOSED,text,FLEET
payments,inv_no,Paid invoice number; joins to invoices.inv_no,text,FINSYS
payments,Amount,Cash received,decimal,FINSYS
contracts,acct,Contracted account; joins to party.party_key,text,LEGAL
contracts,Amount,Committed annual contract value,decimal,LEGAL
contracts,START,Contract validity start date,date,LEGAL
contracts,END,Contract validity end date,date,LEGAL
rate_cards,acct,Account the rate card belongs to; joins to party.party_key,text,PRICING
rate_cards,discount_pct,Negotiated discount off tariff,decimal,PRICING
quotes,cust_ref,Quoted account; joins to party.party_key,text,SALES
quotes,Amount,Quoted price (never billed),decimal,SALES
employees,START,Employment start date,date,HR
employees,END,Employment end date (blank while employed),date,HR
shifts,START,Shift start time of day,time,HR
shifts,END,Shift end time of day,time,HR
