loc_nbr,Name,kind,zone_cd,START,END,Status
L-201,Mistral Hub 1,HUB,Z02,05:00,22:00,OPERATIONAL
L-202,Harbor Port 2,PORT,Z03,05:00,22:00,OPERATIONAL
L-203,Vector Railhead 3,RAILHEAD,Z04,08:00,23:00,OPERATIONAL
L-204,Umbra Customer_Dock 4,CUSTOMER_DOCK,Z05,07:00,20:00,OPERATIONAL
L-205,Lumen Depot 5,DEPOT,Z06,08:00,23:00,OPERATIONAL
L-206,Bravo Hub 6,HUB,Z07,05:00,23:00,OPERATIONAL
L-207,Orchard Port 7,PORT,Z08,08:00,20:00,OPERATIONAL
L-208,Delta Railhead 8,RAILHEAD,Z09,06:00,23:00,OPERATIONAL
L-209,Wexford Customer_Dock 9,CUSTOMER_DOCK,Z10,06:00,22:00,OPERATIONAL
L-210,Orchard Depot 10,DEPOT,Z11,08:00,20:00,OPERATIONAL
L-211,Zenith Hub 11,HUB,Z12,07:00,20:00,OPERATIONAL
L-212,Iron Port 12,PORT,Z01,06:00,22:00,OPERATIONAL
L-213,Quartz Railhead 13,RAILHEAD,Z02,05:00,23:00,OPERATIONAL
L-214,Lumen Customer_Dock 14,CUSTOMER_DOCK,Z03,05:00,22:00,OPERATIONAL
L-215,Granite Depot 15,DEPOT,Z04,05:00,18:00,OPERATIONAL
L-216,Vector Hub 16,HUB,Z05,06:00,20:00,OPERATIONAL
L-217,Alfa Port 17,PORT,Z06,05:00,23:00,OPERATIONAL
L-218,Orchard Railhead 18,RAILHEAD,Z07,08:00,23:00,OPERATIONAL
L-219,Solstice Customer_Dock 19,CUSTOMER_DOCK,Z08,07:00,18:00,OPERATIONAL
L-220,Harbor Depot 20,DEPOT,Z09,07:00,18:00,OPERATIONAL
L-221,Bravo Hub 21,HUB,Z10,06:00,20:00,OPERATIONAL
L-222,Crest Port 22,PORT,Z11,06:00,22:00,OPERATIONAL
L-223,Forge Railhead 23,RAILHEAD,Z12,07:00,22:00,MOTHBALLED
L-224,Quartz Customer_Dock 24,CUSTOMER_DOCK,Z01,05:00,20:00,OPERATIONAL
L-225,Tundra Depot 25,DEPOT,Z02,05:00,22:00,OPERATIONAL
L-226,Solstice Hub 26,HUB,Z03,05:00,22:00,OPERATIONAL
L-227,Mistral Port 27,PORT,Z04,06:00,22:00,OPERATIONAL
L-228,North Railhead 28,RAILHEAD,Z05,07:00,23:00,OPERATIONAL
L-229,Crest Customer_Dock 29,CUSTOMER_DOCK,Z06,08:00,20:00,OPERATIONAL
L-230,Juno Depot 30,DEPOT,Z07,05:00,20:00,OPERATIONAL
L-231,Alfa Hub 31,HUB,Z08,06:00,20:00,OPERATIONAL
L-232,Wexford Port 32,PORT,Z09,06:00,23:00,OPERATIONAL
L-233,Iron Railhead 33,RAILHEAD,Z10,07:00,18:00,OPERATIONAL
L-234,Crest Customer_Dock 34,CUSTOMER_DOCK,Z11,05:00,20:00,OPERATIONAL
L-235,Yarrow Depot 35,DEPOT,Z12,06:00,18:00,OPERATIONAL
L-236,Tundra Hub 36,HUB,Z01,06:00,18:00,OPERATIONAL
L-237,Iron Port 37,PORT,Z02,06:00,18:00,OPERATIONAL
L-238,Wexford Railhead 38,RAILHEAD,Z03,05:00,20:00,OPERATIONAL
L-239,Solstice Customer_Dock 39,CUSTOMER_DOCK,Z04,06:00,23:00,OPERATIONAL
L-240,Forge Depot 40,DEPOT,Z05,05:00,23:00,OPERATIONAL
L-241,Juno Hub 41,HUB,Z06,05:00,20:00,OPERATIONAL
L-242,Delta Port 42,PORT,Z07,08:00,20:00,OPERATIONAL
L-243,North Railhead 43,RAILHEAD,Z08,07:00,18:00,OPERATIONAL
L-244,Yarrow Customer_Dock 44,CUSTOMER_DOCK,Z09,05:00,23:00,OPERATIONAL
L-245,Juno Depot 45,DEPOT,Z10,05:00,22:00,OPERATIONAL
L-246,Iron Hub 46,HUB,Z11,06:00,23:00,OPERATIONAL
L-247,Lumen Port 47,PORT,Z12,05:00,20:00,OPERATIONAL
L-248,Tundra Railhead 48,RAILHEAD,Z01,07:00,23:00,OPERATIONAL
L-249,Umbra Customer_Dock 49,CUSTOMER_DOCK,Z02,05:00,18:00,OPERATIONAL
L-250,Rampart Depot 50,DEPOT,Z03,07:00,22:00,OPERATIONAL
L-251,Delta Hub 51,HUB,Z04,07:00,18:00,OPERATIONAL
L-252,Alfa Port 52,PORT,Z05,07:00,23:00,OPERATIONAL
L-253,Tundra Railhead 53,RAILHEAD,Z06,05:00,22:00,OPERATIONAL
L-254,Keystone Customer_Dock 54,CUSTOMER_DOCK,Z07,05:00,23:00,OPERATIONAL
L-255,Vector Depot 55,DEPOT,Z08,07:00,20:00,OPERATIONAL
L-256,Lumen Hub 56,HUB,Z09,06:00,20:00,OPERATIONAL
L-257,Rampart Port 57,PORT,Z10,06:00,20:00,OPERATIONAL
L-258,Pinnacle Railhead 58,RAILHEAD,Z11,07:00,18:00,OPERATIONAL
L-259,Keystone Customer_Dock 59,CUSTOMER_DOCK,Z12,05:00,18:00,OPERATIONAL
L-260,Keystone Depot 60,DEPOT,Z01,06:00,23:00,OPERATIONAL
