vend_id,Name,category,Status
V001,Yarrow Foods Holdings,FUEL,APPROVED
V002,Keystone Outdoors Group,PARTS,BLOCKED
V003,North Marine & Co,PARTS,TRIAL
V004,Quartz Components Trading,FACILITIES,APPROVED
V005,Iron Print Holdings,FACILITIES,BLOCKED
V006,Mistral Electrics Trading,PARTS,APPROVED
V007,Quartz Beverages Trading,FACILITIES,TRIAL
V008,Umbra Marine Ltd,TYRES,TRIAL
V009,Delta Retail Holdings,FACILITIES,APPROVED
V010,Quartz Beverages Holdings,PARTS,TRIAL
V011,Juno Foods Ltd,PARTS,BLOCKED
V012,Umbra Textiles Ltd,PARTS,APPROVED
V013,Alfa Garden Trading,AGENCY,TRIAL
V014,Mistral Outdoors Holdings,TYRES,BLOCKED
V015,Delta Builders Trading,FUEL,TRIAL
V016,Orchard Electrics PLC,FUEL,BLOCKED
V017,Pinnacle Electrics Group,AGENCY,BLOCKED
V018,Vector Packaging & Co,IT,APPROVED
V019,Yarrow Foods Trading,TYRES,TRIAL
V020,Delta Print Group,IT,TRIAL
V021,Vector Textiles Group,FACILITIES,APPROVED
V022,Yarrow Textiles Trading,AGENCY,APPROVED
V023,Solstice Electrics & Co,IT,BLOCKED
V024,Mistral Print PLC,FACILITIES,TRIAL
V025,Quartz Marine Ltd,AGENCY,TRIAL
V026,Quartz Motors & Co,AGENCY,BLOCKED
V027,Yarrow Pharma-Free PLC,IT,TRIAL
V028,Ember Foods Holdings,AGENCY,TRIAL
V029,Ember Beverages PLC,FACILITIES,APPROVED
V030,Wexford Print Ltd,FACILITIES,BLOCKED
V031,Lumen Packaging PLC,PARTS,TRIAL
V032,Orchard Marine Group,TYRES,APPROVED
V033,Tundra Builders Ltd,TYRES,BLOCKED
V034,Delta Print Holdings,AGENCY,TRIAL
V035,Yarrow Components Group,IT,BLOCKED
V036,Quartz Beverages Trading,FUEL,BLOCKED
V037,Rampart Foods & Co,FACILITIES,APPROVED
V038,Wexford Electrics Ltd,FACILITIES,APPROVED
V039,Pinnacle Chemicals Group,FACILITIES,BLOCKED
V040,Juno Garden PLC,IT,APPROVED
