cust_id,customer_name,status,created
CU2001,Crest Pharma-Free PLC,ACTIVE,2023-09-12
CU2002,Orchard Outdoors Holdings,ACTIVE,2024-03-29
CU2003,Tundra Beverages Holdings,ACTIVE,2025-11-01
CU2004,Vector Packaging Ltd,ACTIVE,2025-04-04
CU2005,Forge Marine PLC,ACTIVE,2025-05-06
CU2006,Orchard Textiles Holdings,ACTIVE,2024-12-02
CU2007,Pinnacle Garden Holdings,ACTIVE,2024-09-06
CU2008,Lumen Pharma-Free Trading,ACTIVE,2022-06-03
CU2009,Solstice Electrics Ltd,ACTIVE,2025-06-23
CU2010,Ember Textiles & Co,CLOSED,2025-03-23
CU2011,Yarrow Chemicals Group,ACTIVE,2024-10-19
CU2012,Crest Paper Trading,ACTIVE,2023-10-27
CU2013,Alfa Chemicals & Co,ACTIVE,2023-08-20
CU2014,Bravo Pharma-Free Holdings,ACTIVE,2024-12-25
CU2015,Alfa Marine Holdings,CLOSED,2022-05-24
CU2016,Orchard Electrics Holdings,ACTIVE,2025-02-11
CU2017,Ember Builders Trading,ACTIVE,2022-11-14
CU2018,Rampart Packaging Holdings,ACTIVE,2022-01-06
CU2019,Vector Retail PLC,ACTIVE,2023-06-25
CU2020,Orchard Foods PLC,ACTIVE,2025-09-11
CU2021,Tundra Chemicals PLC,ACTIVE,2022-10-19
CU2022,Vector Pharma-Free Holdings,ACTIVE,2024-03-31
CU2023,Lumen Electrics & Co,ACTIVE,2024-09-02
CU2024,Solstice Components Holdings,CLOSED,2025-11-14
CU2025,Rampart Textiles Group,ACTIVE,2024-08-20
CU2026,Granite Builders Ltd,CLOSED,2022-07-04
CU2027,Wexford Outdoors Holdings,ACTIVE,2025-09-09
CU2028,Solstice Paper Holdings,ACTIVE,2022-02-02
CU2029,Orchard Beverages PLC,ACTIVE,2022-04-28
CU2030,Umbra Retail PLC,ACTIVE,2023-07-22
CU2031,Crest Beverages Trading,ACTIVE,2025-04-22
CU2032,Wexford Chemicals PLC,ACTIVE,2025-06-02
CU2033,Crest Components & Co,ACTIVE,2025-04-02
CU2034,Alfa Chemicals & Co,ACTIVE,2022-12-16
CU2035,Crest Electrics Holdings,ACTIVE,2023-12-03
CU2036,Forge Motors PLC,CLOSED,2023-07-04
CU2037,Juno Retail & Co,ACTIVE,2025-12-16
